Sep 08 20:13:33.232248 devstack-92-210 systemd[1]: Started devstack@neutron-rpc-server.service - Devstack devstack@neutron-rpc-server.service.
Sep 08 20:13:33.461668 devstack-92-210 neutron-rpc-server[269110]: /opt/stack/data/venv/lib/python3.12/site-packages/futurist/_utils.py:34: EventletDeprecationWarning:
Sep 08 20:13:33.461668 devstack-92-210 neutron-rpc-server[269110]: Eventlet is deprecated. It is currently being maintained in bugfix mode, and
Sep 08 20:13:33.461668 devstack-92-210 neutron-rpc-server[269110]: we strongly recommend against using it for new projects.
Sep 08 20:13:33.461668 devstack-92-210 neutron-rpc-server[269110]: If you are already using Eventlet, we recommend migrating to a different
Sep 08 20:13:33.461668 devstack-92-210 neutron-rpc-server[269110]: framework.  For more detail see
Sep 08 20:13:33.461668 devstack-92-210 neutron-rpc-server[269110]: https://eventlet.readthedocs.io/en/latest/asyncio/migration.html
Sep 08 20:13:33.461668 devstack-92-210 neutron-rpc-server[269110]:   import eventlet as _eventlet  # noqa
Sep 08 20:22:27.011523 devstack-92-210 neutron-rpc-server[270896]: /opt/stack/data/venv/lib/python3.12/site-packages/oslo_db/sqlalchemy/enginefacade.py:852: SAWarning: DELETE statement on table 'portsecuritybindings' expected to delete 1 row(s); 0 were matched.  Please set confirm_deleted_rows=False within the mapper configuration to prevent this warning.
Sep 08 20:22:27.011523 devstack-92-210 neutron-rpc-server[270896]:   self.session.flush()
Sep 08 20:22:27.012861 devstack-92-210 neutron-rpc-server[270896]: /opt/stack/data/venv/lib/python3.12/site-packages/oslo_db/sqlalchemy/enginefacade.py:852: SAWarning: DELETE statement on table 'ml2_port_bindings' expected to delete 1 row(s); 0 were matched.  Please set confirm_deleted_rows=False within the mapper configuration to prevent this warning.
Sep 08 20:22:27.012861 devstack-92-210 neutron-rpc-server[270896]:   self.session.flush()
Sep 08 20:22:27.013777 devstack-92-210 neutron-rpc-server[270896]: /opt/stack/data/venv/lib/python3.12/site-packages/oslo_db/sqlalchemy/enginefacade.py:852: SAWarning: DELETE statement on table 'ml2_port_binding_levels' expected to delete 1 row(s); 0 were matched.  Please set confirm_deleted_rows=False within the mapper configuration to prevent this warning.
Sep 08 20:22:27.013777 devstack-92-210 neutron-rpc-server[270896]:   self.session.flush()
Sep 08 20:22:27.015580 devstack-92-210 neutron-rpc-server[270896]: /opt/stack/data/venv/lib/python3.12/site-packages/oslo_db/sqlalchemy/enginefacade.py:852: SAWarning: DELETE statement on table 'ports' expected to delete 1 row(s); 0 were matched.  Please set confirm_deleted_rows=False within the mapper configuration to prevent this warning.
Sep 08 20:22:27.015580 devstack-92-210 neutron-rpc-server[270896]:   self.session.flush()
Sep 08 20:22:50.784405 devstack-92-210 neutron-rpc-server[270436]: /opt/stack/data/venv/lib/python3.12/site-packages/oslo_db/sqlalchemy/enginefacade.py:852: SAWarning: DELETE statement on table 'portsecuritybindings' expected to delete 1 row(s); 0 were matched.  Please set confirm_deleted_rows=False within the mapper configuration to prevent this warning.
Sep 08 20:22:50.784405 devstack-92-210 neutron-rpc-server[270436]:   self.session.flush()
Sep 08 20:22:50.785485 devstack-92-210 neutron-rpc-server[270436]: /opt/stack/data/venv/lib/python3.12/site-packages/oslo_db/sqlalchemy/enginefacade.py:852: SAWarning: DELETE statement on table 'ml2_port_bindings' expected to delete 1 row(s); 0 were matched.  Please set confirm_deleted_rows=False within the mapper configuration to prevent this warning.
Sep 08 20:22:50.785485 devstack-92-210 neutron-rpc-server[270436]:   self.session.flush()
Sep 08 20:22:50.785895 devstack-92-210 neutron-rpc-server[270436]: /opt/stack/data/venv/lib/python3.12/site-packages/oslo_db/sqlalchemy/enginefacade.py:852: SAWarning: DELETE statement on table 'ml2_port_binding_levels' expected to delete 1 row(s); 0 were matched.  Please set confirm_deleted_rows=False within the mapper configuration to prevent this warning.
Sep 08 20:22:50.785895 devstack-92-210 neutron-rpc-server[270436]:   self.session.flush()
Sep 08 20:22:50.786589 devstack-92-210 neutron-rpc-server[270436]: /opt/stack/data/venv/lib/python3.12/site-packages/oslo_db/sqlalchemy/enginefacade.py:852: SAWarning: DELETE statement on table 'ports' expected to delete 1 row(s); 0 were matched.  Please set confirm_deleted_rows=False within the mapper configuration to prevent this warning.
Sep 08 20:22:50.786589 devstack-92-210 neutron-rpc-server[270436]:   self.session.flush()
Sep 08 20:24:26.316760 devstack-92-210 neutron-rpc-server[270902]: /opt/stack/data/venv/lib/python3.12/site-packages/oslo_db/sqlalchemy/enginefacade.py:852: SAWarning: DELETE statement on table 'portsecuritybindings' expected to delete 1 row(s); 0 were matched.  Please set confirm_deleted_rows=False within the mapper configuration to prevent this warning.
Sep 08 20:24:26.316760 devstack-92-210 neutron-rpc-server[270902]:   self.session.flush()
Sep 08 20:24:26.318233 devstack-92-210 neutron-rpc-server[270902]: /opt/stack/data/venv/lib/python3.12/site-packages/oslo_db/sqlalchemy/enginefacade.py:852: SAWarning: DELETE statement on table 'ml2_port_bindings' expected to delete 1 row(s); 0 were matched.  Please set confirm_deleted_rows=False within the mapper configuration to prevent this warning.
Sep 08 20:24:26.318233 devstack-92-210 neutron-rpc-server[270902]:   self.session.flush()
Sep 08 20:24:26.318912 devstack-92-210 neutron-rpc-server[270902]: /opt/stack/data/venv/lib/python3.12/site-packages/oslo_db/sqlalchemy/enginefacade.py:852: SAWarning: DELETE statement on table 'ml2_port_binding_levels' expected to delete 1 row(s); 0 were matched.  Please set confirm_deleted_rows=False within the mapper configuration to prevent this warning.
Sep 08 20:24:26.318912 devstack-92-210 neutron-rpc-server[270902]:   self.session.flush()
Sep 08 20:24:26.319975 devstack-92-210 neutron-rpc-server[270902]: /opt/stack/data/venv/lib/python3.12/site-packages/oslo_db/sqlalchemy/enginefacade.py:852: SAWarning: DELETE statement on table 'ports' expected to delete 1 row(s); 0 were matched.  Please set confirm_deleted_rows=False within the mapper configuration to prevent this warning.
Sep 08 20:24:26.319975 devstack-92-210 neutron-rpc-server[270902]:   self.session.flush()
Sep 08 20:24:42.279604 devstack-92-210 neutron-rpc-server[270917]: /opt/stack/data/venv/lib/python3.12/site-packages/oslo_db/sqlalchemy/enginefacade.py:852: SAWarning: DELETE statement on table 'portsecuritybindings' expected to delete 1 row(s); 0 were matched.  Please set confirm_deleted_rows=False within the mapper configuration to prevent this warning.
Sep 08 20:24:42.279604 devstack-92-210 neutron-rpc-server[270917]:   self.session.flush()
Sep 08 20:24:42.280669 devstack-92-210 neutron-rpc-server[270917]: /opt/stack/data/venv/lib/python3.12/site-packages/oslo_db/sqlalchemy/enginefacade.py:852: SAWarning: DELETE statement on table 'ml2_port_bindings' expected to delete 1 row(s); 0 were matched.  Please set confirm_deleted_rows=False within the mapper configuration to prevent this warning.
Sep 08 20:24:42.280669 devstack-92-210 neutron-rpc-server[270917]:   self.session.flush()
Sep 08 20:24:42.281763 devstack-92-210 neutron-rpc-server[270917]: /opt/stack/data/venv/lib/python3.12/site-packages/oslo_db/sqlalchemy/enginefacade.py:852: SAWarning: DELETE statement on table 'ml2_port_binding_levels' expected to delete 1 row(s); 0 were matched.  Please set confirm_deleted_rows=False within the mapper configuration to prevent this warning.
Sep 08 20:24:42.281763 devstack-92-210 neutron-rpc-server[270917]:   self.session.flush()
Sep 08 20:24:42.283121 devstack-92-210 neutron-rpc-server[270917]: /opt/stack/data/venv/lib/python3.12/site-packages/oslo_db/sqlalchemy/enginefacade.py:852: SAWarning: DELETE statement on table 'ports' expected to delete 1 row(s); 0 were matched.  Please set confirm_deleted_rows=False within the mapper configuration to prevent this warning.
Sep 08 20:24:42.283121 devstack-92-210 neutron-rpc-server[270917]:   self.session.flush()
Sep 08 20:26:06.622614 devstack-92-210 neutron-rpc-server[270275]: /opt/stack/data/venv/lib/python3.12/site-packages/oslo_db/sqlalchemy/enginefacade.py:852: SAWarning: DELETE statement on table 'portsecuritybindings' expected to delete 1 row(s); 0 were matched.  Please set confirm_deleted_rows=False within the mapper configuration to prevent this warning.
Sep 08 20:26:06.622614 devstack-92-210 neutron-rpc-server[270275]:   self.session.flush()
Sep 08 20:26:06.623677 devstack-92-210 neutron-rpc-server[270275]: /opt/stack/data/venv/lib/python3.12/site-packages/oslo_db/sqlalchemy/enginefacade.py:852: SAWarning: DELETE statement on table 'ml2_port_bindings' expected to delete 1 row(s); 0 were matched.  Please set confirm_deleted_rows=False within the mapper configuration to prevent this warning.
