Sep 15 01:24:37.751008 devstack-92-210 systemd[1]: Started devstack@neutron-rpc-server.service - Devstack devstack@neutron-rpc-server.service.
Sep 15 01:24:37.979160 devstack-92-210 neutron-rpc-server[2223953]: /opt/stack/data/venv/lib/python3.12/site-packages/futurist/_utils.py:34: EventletDeprecationWarning:
Sep 15 01:24:37.979160 devstack-92-210 neutron-rpc-server[2223953]: Eventlet is deprecated. It is currently being maintained in bugfix mode, and
Sep 15 01:24:37.979160 devstack-92-210 neutron-rpc-server[2223953]: we strongly recommend against using it for new projects.
Sep 15 01:24:37.979160 devstack-92-210 neutron-rpc-server[2223953]: If you are already using Eventlet, we recommend migrating to a different
Sep 15 01:24:37.979160 devstack-92-210 neutron-rpc-server[2223953]: framework.  For more detail see
Sep 15 01:24:37.979160 devstack-92-210 neutron-rpc-server[2223953]: https://eventlet.readthedocs.io/en/latest/asyncio/migration.html
Sep 15 01:24:37.979160 devstack-92-210 neutron-rpc-server[2223953]:   import eventlet as _eventlet  # noqa
Sep 15 01:34:59.013667 devstack-92-210 neutron-rpc-server[2224941]: /opt/stack/data/venv/lib/python3.12/site-packages/oslo_db/sqlalchemy/enginefacade.py:852: SAWarning: DELETE statement on table 'portsecuritybindings' expected to delete 1 row(s); 0 were matched.  Please set confirm_deleted_rows=False within the mapper configuration to prevent this warning.
Sep 15 01:34:59.013667 devstack-92-210 neutron-rpc-server[2224941]:   self.session.flush()
Sep 15 01:34:59.014957 devstack-92-210 neutron-rpc-server[2224941]: /opt/stack/data/venv/lib/python3.12/site-packages/oslo_db/sqlalchemy/enginefacade.py:852: SAWarning: DELETE statement on table 'ml2_port_bindings' expected to delete 1 row(s); 0 were matched.  Please set confirm_deleted_rows=False within the mapper configuration to prevent this warning.
Sep 15 01:34:59.014957 devstack-92-210 neutron-rpc-server[2224941]:   self.session.flush()
Sep 15 01:34:59.016173 devstack-92-210 neutron-rpc-server[2224941]: /opt/stack/data/venv/lib/python3.12/site-packages/oslo_db/sqlalchemy/enginefacade.py:852: SAWarning: DELETE statement on table 'ml2_port_binding_levels' expected to delete 1 row(s); 0 were matched.  Please set confirm_deleted_rows=False within the mapper configuration to prevent this warning.
Sep 15 01:34:59.016173 devstack-92-210 neutron-rpc-server[2224941]:   self.session.flush()
Sep 15 01:34:59.017357 devstack-92-210 neutron-rpc-server[2224941]: /opt/stack/data/venv/lib/python3.12/site-packages/oslo_db/sqlalchemy/enginefacade.py:852: SAWarning: DELETE statement on table 'ports' expected to delete 1 row(s); 0 were matched.  Please set confirm_deleted_rows=False within the mapper configuration to prevent this warning.
Sep 15 01:34:59.017357 devstack-92-210 neutron-rpc-server[2224941]:   self.session.flush()
Sep 15 01:35:09.652980 devstack-92-210 neutron-rpc-server[2225147]: /opt/stack/data/venv/lib/python3.12/site-packages/oslo_db/sqlalchemy/enginefacade.py:852: SAWarning: DELETE statement on table 'portsecuritybindings' expected to delete 1 row(s); 0 were matched.  Please set confirm_deleted_rows=False within the mapper configuration to prevent this warning.
Sep 15 01:35:09.652980 devstack-92-210 neutron-rpc-server[2225147]:   self.session.flush()
Sep 15 01:35:09.654559 devstack-92-210 neutron-rpc-server[2225147]: /opt/stack/data/venv/lib/python3.12/site-packages/oslo_db/sqlalchemy/enginefacade.py:852: SAWarning: DELETE statement on table 'ml2_port_bindings' expected to delete 1 row(s); 0 were matched.  Please set confirm_deleted_rows=False within the mapper configuration to prevent this warning.
Sep 15 01:35:09.654559 devstack-92-210 neutron-rpc-server[2225147]:   self.session.flush()
