Sep 14 19:29:04.666928 devstack-92-210 systemd[1]: Started devstack@neutron-rpc-server.service - Devstack devstack@neutron-rpc-server.service.
Sep 14 19:29:04.895803 devstack-92-210 neutron-rpc-server[1702057]: /opt/stack/data/venv/lib/python3.12/site-packages/futurist/_utils.py:34: EventletDeprecationWarning:
Sep 14 19:29:04.895803 devstack-92-210 neutron-rpc-server[1702057]: Eventlet is deprecated. It is currently being maintained in bugfix mode, and
Sep 14 19:29:04.895803 devstack-92-210 neutron-rpc-server[1702057]: we strongly recommend against using it for new projects.
Sep 14 19:29:04.895803 devstack-92-210 neutron-rpc-server[1702057]: If you are already using Eventlet, we recommend migrating to a different
Sep 14 19:29:04.895803 devstack-92-210 neutron-rpc-server[1702057]: framework.  For more detail see
Sep 14 19:29:04.895803 devstack-92-210 neutron-rpc-server[1702057]: https://eventlet.readthedocs.io/en/latest/asyncio/migration.html
Sep 14 19:29:04.895803 devstack-92-210 neutron-rpc-server[1702057]:   import eventlet as _eventlet  # noqa
Sep 14 19:39:05.594810 devstack-92-210 neutron-rpc-server[1703571]: /opt/stack/data/venv/lib/python3.12/site-packages/oslo_db/sqlalchemy/enginefacade.py:852: SAWarning: DELETE statement on table 'portsecuritybindings' expected to delete 1 row(s); 0 were matched.  Please set confirm_deleted_rows=False within the mapper configuration to prevent this warning.
Sep 14 19:39:05.594810 devstack-92-210 neutron-rpc-server[1703571]:   self.session.flush()
Sep 14 19:39:05.595840 devstack-92-210 neutron-rpc-server[1703571]: /opt/stack/data/venv/lib/python3.12/site-packages/oslo_db/sqlalchemy/enginefacade.py:852: SAWarning: DELETE statement on table 'ml2_port_bindings' expected to delete 1 row(s); 0 were matched.  Please set confirm_deleted_rows=False within the mapper configuration to prevent this warning.
Sep 14 19:39:05.595840 devstack-92-210 neutron-rpc-server[1703571]:   self.session.flush()
Sep 14 19:39:05.596885 devstack-92-210 neutron-rpc-server[1703571]: /opt/stack/data/venv/lib/python3.12/site-packages/oslo_db/sqlalchemy/enginefacade.py:852: SAWarning: DELETE statement on table 'ml2_port_binding_levels' expected to delete 1 row(s); 0 were matched.  Please set confirm_deleted_rows=False within the mapper configuration to prevent this warning.
Sep 14 19:39:05.596885 devstack-92-210 neutron-rpc-server[1703571]:   self.session.flush()
Sep 14 19:39:05.597970 devstack-92-210 neutron-rpc-server[1703571]: /opt/stack/data/venv/lib/python3.12/site-packages/oslo_db/sqlalchemy/enginefacade.py:852: SAWarning: DELETE statement on table 'ports' expected to delete 1 row(s); 0 were matched.  Please set confirm_deleted_rows=False within the mapper configuration to prevent this warning.
Sep 14 19:39:05.597970 devstack-92-210 neutron-rpc-server[1703571]:   self.session.flush()
