Sep 14 14:54:56.770996 devstack-92-210 systemd[1]: Started devstack@neutron-rpc-server.service - Devstack devstack@neutron-rpc-server.service.
Sep 14 14:54:56.998662 devstack-92-210 neutron-rpc-server[1236431]: /opt/stack/data/venv/lib/python3.12/site-packages/futurist/_utils.py:34: EventletDeprecationWarning:
Sep 14 14:54:56.998662 devstack-92-210 neutron-rpc-server[1236431]: Eventlet is deprecated. It is currently being maintained in bugfix mode, and
Sep 14 14:54:56.998662 devstack-92-210 neutron-rpc-server[1236431]: we strongly recommend against using it for new projects.
Sep 14 14:54:56.998662 devstack-92-210 neutron-rpc-server[1236431]: If you are already using Eventlet, we recommend migrating to a different
Sep 14 14:54:56.998662 devstack-92-210 neutron-rpc-server[1236431]: framework.  For more detail see
Sep 14 14:54:56.998662 devstack-92-210 neutron-rpc-server[1236431]: https://eventlet.readthedocs.io/en/latest/asyncio/migration.html
Sep 14 14:54:56.998662 devstack-92-210 neutron-rpc-server[1236431]:   import eventlet as _eventlet  # noqa
Sep 14 15:04:08.247448 devstack-92-210 neutron-rpc-server[1237742]: /opt/stack/data/venv/lib/python3.12/site-packages/oslo_db/sqlalchemy/enginefacade.py:852: SAWarning: DELETE statement on table 'portsecuritybindings' expected to delete 1 row(s); 0 were matched.  Please set confirm_deleted_rows=False within the mapper configuration to prevent this warning.
Sep 14 15:04:08.247448 devstack-92-210 neutron-rpc-server[1237742]:   self.session.flush()
Sep 14 15:04:08.248815 devstack-92-210 neutron-rpc-server[1237742]: /opt/stack/data/venv/lib/python3.12/site-packages/oslo_db/sqlalchemy/enginefacade.py:852: SAWarning: DELETE statement on table 'ml2_port_bindings' expected to delete 1 row(s); 0 were matched.  Please set confirm_deleted_rows=False within the mapper configuration to prevent this warning.
Sep 14 15:04:08.248815 devstack-92-210 neutron-rpc-server[1237742]:   self.session.flush()
Sep 14 15:04:08.249483 devstack-92-210 neutron-rpc-server[1237742]: /opt/stack/data/venv/lib/python3.12/site-packages/oslo_db/sqlalchemy/enginefacade.py:852: SAWarning: DELETE statement on table 'ml2_port_binding_levels' expected to delete 1 row(s); 0 were matched.  Please set confirm_deleted_rows=False within the mapper configuration to prevent this warning.
Sep 14 15:04:08.249483 devstack-92-210 neutron-rpc-server[1237742]:   self.session.flush()
Sep 14 15:04:08.250676 devstack-92-210 neutron-rpc-server[1237742]: /opt/stack/data/venv/lib/python3.12/site-packages/oslo_db/sqlalchemy/enginefacade.py:852: SAWarning: DELETE statement on table 'ports' expected to delete 1 row(s); 0 were matched.  Please set confirm_deleted_rows=False within the mapper configuration to prevent this warning.
Sep 14 15:04:08.250676 devstack-92-210 neutron-rpc-server[1237742]:   self.session.flush()
